,Combined,,,DAPI,,Tubulin,,Actin,,
Epoch,NSC,NSCB,Mean Loss,NSCB,Loss,NSCB,Loss,NSCB,Loss,
10,0.893,0.717,10.085,0.674,10.727,0.761,9.612,0.609,9.915,
15,0.854,0.728,10.108,0.663,10.578,0.804,9.661,0.598,10.084,
20,0.845,0.750,9.877,0.598,10.061,0.826,9.470,0.565,10.100,
25,0.845,0.739,9.527,0.609,9.349,0.837,9.126,0.565,10.105,
30,0.837,0.750,9.124,0.609,8.776,0.815,8.655,0.576,9.940,
35,0.864,0.739,8.622,0.598,8.105,0.826,8.069,0.587,9.691,
40,0.893,0.815,8.356,0.620,7.868,0.848,7.636,0.598,9.563,
45,0.874,0.859,8.131,0.609,7.645,0.848,7.346,0.543,9.403,
50,0.883,0.859,7.731,0.598,7.224,0.826,6.887,0.565,9.082,
55,0.864,0.859,7.448,0.620,6.911,0.826,6.547,0.576,8.885,
60,0.864,0.804,7.232,0.609,6.676,0.804,6.337,0.554,8.683,
65,0.874,0.826,7.048,0.641,6.520,0.826,6.179,0.587,8.446,
70,0.874,0.837,6.771,0.663,6.204,0.859,5.944,0.598,8.166,
75,0.874,0.826,6.650,0.641,6.225,0.837,5.808,0.620,7.918,
80,0.883,0.826,6.559,0.685,6.264,0.859,5.701,0.663,7.711,
85,0.874,0.826,6.490,0.663,6.217,0.848,5.656,0.620,7.596,
90,0.883,0.848,6.450,0.674,6.237,0.837,5.581,0.652,7.532,
95,0.903,0.902,6.403,0.674,6.185,0.837,5.535,0.630,7.490,
100,0.893,0.902,6.333,0.674,6.145,0.837,5.483,0.674,7.371,
105,0.893,0.924,6.308,0.685,6.120,0.823,5.472,0.641,7.332,
110,0.883,0.913,6.275,0.685,6.117,0.837,5.427,0.641,7.280,
115,0.903,0.924,6.275,0.674,6.105,0.815,5.433,0.674,7.287,
120,0.913,0.913,6.264,0.707,6.050,0.826,5.476,0.685,7.267,
125,0.903,0.902,6.224,0.685,6.021,0.859,5.449,0.685,7.202,
130,0.913,0.924,6.199,0.696,5.999,0.837,5.468,0.674,7.129,
135,0.922,0.946,6.162,0.707,5.987,0.859,5.396,0.652,7.102,
140,0.913,0.924,6.147,0.707,5.982,0.848,5.363,0.696,7.097,
145,0.903,0.913,6.126,0.717,5.964,0.859,5.336,0.696,7.079,
150,0.903,0.934,6.113,0.707,5.987,0.848,5.332,0.685,7.019,
155,0.903,0.902,6.080,0.707,5.945,0.848,5.319,0.685,6.975,
160,0.913,0.913,6.049,0.695,5.913,0.848,5.303,0.685,6.932,
165,0.903,0.913,6.022,0.695,5.879,0.859,5.279,0.696,6.909,
170,0.903,0.924,5.995,0.674,5.835,0.837,5.275,0.674,6.874,
175,0.903,0.924,5.983,0.685,5.798,0.848,5.273,0.663,6.877,
180,0.893,0.913,5.950,0.707,5.779,0.826,5.252,0.674,6.820,
185,0.903,0.924,5.952,0.696,5.802,0.848,5.239,0.674,6.815,
190,0.903,0.924,5.925,0.685,5.788,0.815,5.217,0.652,6.769,
195,0.903,0.924,5.873,0.707,5.717,0.826,5.183,0.630,6.718,
200,0.903,0.924,5.840,0.663,5.686,0.826,5.131,0.630,6.702,
205,0.903,0.913,5.803,0.685,5.685,0.815,5.060,0.641,6.663,
210,0.903,0.924,5.773,0.685,5.698,0.826,5.023,0.641,6.597,
215,0.903,0.902,5.766,0.685,5.701,0.815,5.015,0.674,6.581,
220,0.893,0.913,5.760,0.685,5.684,0.804,5.034,0.674,6.561,
225,0.903,0.935,5.752,0.685,5.675,0.826,5.051,0.641,6.529,
230,0.893,0.913,5.727,0.685,5.639,0.826,5.031,0.630,6.511,
235,0.913,0.924,5.716,0.696,5.644,0.826,5.016,0.620,6.487,
240,0.913,0.934,5.696,0.717,5.648,0.826,4.995,0.641,6.444,
245,0.893,0.924,5.678,0.685,5.623,0.826,5.022,0.620,6.390,
250,0.903,0.935,5.673,0.707,5.641,0.804,4.987,0.609,6.392,
255,0.903,0.924,5.627,0.717,5.617,0.826,4.926,0.609,6.339,
260,0.903,0.924,5.607,0.696,5.613,0.837,4.911,0.609,6.296,
265,0.903,0.924,5.593,0.707,5.604,0.837,4.905,0.620,6.270,
270,0.903,0.924,5.578,0.685,5.609,0.826,4.900,0.641,6.226,
275,0.903,0.924,5.561,0.707,5.597,0.826,4.882,0.696,6.203,
280,0.903,0.924,5.552,0.696,5.591,0.837,4.869,0.630,6.197,
