,Combined,,,DAPI,,Tubulin,,Actin,,,
Epoch,NSC,NSCB,Mean Loss,NSCB,Loss,NSCB,Loss,NSCB,Loss,,
10,0.806,0.685,10.102,0.62,10.775,0.75,9.514,0.543,10.016,,
15,0.845,0.739,9.902,0.587,10.216,0.793,9.38,0.565,10.111,,
20,0.874,0.772,9.120,0.587,9.215,0.804,8.433,0.533,9.711,,
25,0.893,0.870,8.506,0.62,8.461,0.837,7.742,0.576,9.316,,
30,0.903,0.902,8.141,0.685,7.967,0.848,7.359,0.609,9.096,,
35,0.903,0.891,7.746,0.652,7.58,0.837,7.116,0.609,8.542,,
40,0.903,0.902,7.438,0.696,7.352,0.793,6.785,0.663,8.177,,
45,0.913,0.913,7.106,0.696,6.974,0.826,6.475,0.63,7.868,,
50,0.913,0.902,6.855,0.739,6.907,0.848,6.181,0.641,7.476,,
55,0.913,0.902,6.628,0.75,6.749,0.804,5.752,0.652,7.382,,
60,0.903,0.913,6.445,0.739,6.51,0.783,5.53,0.663,7.294,,
65,0.913,0.924,6.393,0.761,6.564,0.826,5.487,0.652,7.128,,
70,0.922,0.891,6.365,0.761,6.706,0.837,5.519,0.663,6.87,,
75,0.913,0.902,6.278,0.761,6.752,0.826,5.224,0.652,6.859,,
80,0.913,0.891,6.094,0.772,6.666,0.815,5.161,0.663,6.456,,
85,0.942,0.913,6.122,0.772,6.787,0.826,5.177,0.685,6.403,,
90,0.951,0.913,6.047,0.783,6.631,0.837,5.084,0.685,6.425,,
95,0.951,0.935,5.927,0.783,6.385,0.826,5.235,0.685,6.16,,
100,0.971,0.935,5.753,0.783,6.205,0.859,5.122,0.652,5.933,,
105,0.951,0.946,5.726,0.783,6.234,0.826,5.084,0.663,5.861,,
110,0.971,0.967,5.752,0.783,6.356,0.848,5.048,0.652,5.852,,
115,0.961,0.967,5.688,0.793,6.246,0.826,5.03,0.63,5.789,,
120,0.961,0.967,5.667,0.793,6.354,0.804,5.026,0.641,5.622,,
125,0.942,0.946,5.513,0.772,6.258,0.793,4.745,0.641,5.536,,
130,0.942,0.946,5.466,0.783,6.162,0.837,4.668,0.652,5.569,,
135,0.971,0.924,5.405,0.761,6.145,0.783,4.53,0.641,5.541,,
140,0.971,0.946,5.302,0.772,6.023,0.815,4.491,0.663,5.392,,
145,0.971,0.946,5.278,0.772,5.919,0.793,4.541,0.663,5.373,,
150,0.971,0.924,5.349,0.761,5.896,0.761,4.625,0.641,5.526,,
155,0.971,0.924,5.324,0.772,5.931,0.75,4.501,0.652,5.54,,
160,0.981,0.946,5.269,0.761,5.994,0.761,4.475,0.663,5.337,,
165,0.971,0.946,5.281,0.783,5.932,0.772,4.522,0.641,5.389,,
170,0.971,0.946,5.273,0.772,5.964,0.783,4.511,0.663,5.345,,
175,0.951,0.946,5.187,0.772,5.838,0.739,4.491,0.641,5.231,,
180,0.961,0.957,5.139,0.772,5.788,0.75,4.553,0.641,5.076,,
185,0.961,0.924,5.057,0.772,5.784,0.772,4.483,0.652,4.905,,
190,0.961,0.935,5.048,0.761,5.849,0.761,4.407,0.641,4.887,,
195,0.981,0.946,5.036,0.761,5.906,0.75,4.295,0.641,4.907,,
200,0.981,0.957,5.001,0.772,5.912,0.772,4.16,0.641,4.93,,
205,0.971,0.935,4.942,0.772,5.867,0.772,4.045,0.641,4.913,,
210,0.981,0.946,4.907,0.761,5.782,0.761,4.027,0.63,4.911,,
215,0.981,0.946,4.859,0.761,5.641,0.772,4.04,0.641,4.897,,
220,0.971,0.935,4.789,0.761,5.503,0.783,4.009,0.63,4.855,,
225,0.981,0.935,4.742,0.761,5.474,0.772,3.984,0.641,4.768,,
230,0.981,0.946,4.809,0.761,5.627,0.761,3.94,0.663,4.86,,
235,0.981,0.946,4.737,0.761,5.533,0.804,4.009,0.63,4.67,,
240,0.971,0.935,4.713,0.761,5.574,0.794,4.046,0.63,4.518,,
245,0.951,0.913,4.629,772,5.561,0.804,3.835,0.652,4.491,,
250,0.971,0.924,4.472,0.772,5.445,0.783,3.69,0.62,4.28,,
255,0.971,0.935,4.556,0.761,5.606,0.793,3.719,0.685,4.343,,
260,0.951,0.913,4.502,0.75,5.499,0.804,3.663,0.695,4.344,,
265,0.971,0.935,4.473,0.75,5.441,0.783,3.636,0.663,4.343,,
270,0.971,0.935,4.499,0.739,5.412,0.804,3.667,0.674,4.417,,
275,0.951,0.913,4.442,0.772,5.318,0.772,3.679,0.663,4.33,,
280,0.961,0.924,4.432,0.761,5.26,0.75,3.679,0.641,4.358,,
