,Combined,,,DAPI,,Tubulin,,Actin,,,,
Epoch,NSC,NSCB,Mean Loss,NSCB,Loss,NSCB,Loss,NSCB,Loss,,,
10,0.835,0.717,9.932,0.587,10.408,0.826,9.265,0.652,10.122,,,
15,0.864,0.783,9.344,0.63,9.448,0.826,8.457,0.598,10.128,,,
20,0.883,0.859,8.687,0.62,8.766,0.848,7.573,0.587,9.722,,,
25,0.893,0.891,8.186,0.63,7.763,0.837,7.295,0.62,9.5,,,
30,0.893,0.880,7.643,0.641,6.941,0.826,6.98,0.641,9.009,,,
35,0.893,0.891,7.361,0.663,6.955,0.891,6.735,0.63,8.392,,,
40,0.893,0.891,7.179,0.674,6.711,0.902,6.552,0.587,8.275,,,
45,0.893,0.859,7.041,0.696,6.896,0.848,5.993,0.674,8.233,,,
50,0.893,0.870,6.835,0.685,6.901,0.837,5.663,0.609,7.94,,,
55,0.903,0.902,6.707,0.717,6.838,0.815,5.37,0.62,7.913,,,
60,0.903,0.891,6.579,0.739,6.912,0.783,5.094,0.63,7.731,,,
65,0.922,0.902,6.378,0.739,6.702,0.815,4.847,0.674,7.584,,,
70,0.922,0.891,6.363,0.75,6.515,0.793,5.039,0.685,7.535,,,
75,0.903,0.826,6.295,0.761,6.302,0.783,5.037,0.685,7.546,,,
80,0.893,0.891,6.033,0.75,6.3,0.761,4.799,0.663,7,,,
85,0.874,0.880,5.847,0.75,6.289,0.783,4.738,0.696,6.514,,,
90,0.903,0.913,5.804,0.75,6.136,0.793,4.871,0.663,6.406,,,
95,0.893,0.880,5.777,0.739,5.942,0.772,4.965,0.663,6.424,,,
100,0.893,0.880,5.747,0.75,5.972,0.804,5.04,0.641,6.228,,,
105,0.903,0.891,5.768,0.761,6.115,0.793,4.836,0.63,6.354,,,
110,0.903,0.870,5.841,0.75,6.323,0.772,4.9,0.641,6.301,,,
115,0.903,0.891,5.671,0.761,6.109,0.772,4.861,0.641,6.043,,,
120,0.883,0.815,5.655,0.739,6.068,0.772,4.91,0.652,5.988,,,
125,0.903,0.824,5.582,0.75,6.124,0.783,4.868,0.641,5.753,,,
130,0.903,0.804,5.375,0.728,5.613,0.783,4.853,0.641,5.659,,,
135,0.903,0.783,5.393,0.75,5.733,0.783,4.846,0.62,5.601,,,
140,0.883,0.859,5.484,0.728,5.92,0.804,4.823,0.63,5.708,,,
145,0.893,0.793,5.333,0.717,5.517,0.772,4.78,0.674,5.703,,,
150,0.893,0.804,5.221,0.739,5.503,0.772,4.574,0.63,5.587,,,
155,0.893,0.804,5.274,0.739,5.597,0.793,4.609,0.641,5.617,,,
160,0.903,0.804,5.367,0.75,5.859,0.783,4.599,0.674,5.642,,,
165,0.893,0.783,5.266,0.739,5.729,0.772,4.547,0.63,5.522,,,
170,0.880,0.772,5.295,0.739,5.65,0.815,4.59,0.63,5.644,,,
175,0.880,0.783,5.306,0.739,5.809,0.793,4.554,0.652,5.556,,,
180,0.880,0.783,5.301,0.75,5.852,0.772,4.345,0.663,5.705,,,
185,0.880,0.783,5.177,0.739,5.706,0.783,4.316,0.63,5.508,,,
190,0.880,0.804,5.150,0.739,5.76,0.772,4.285,0.63,5.405,,,
195,0.880,0.804,4.961,0.75,5.646,0.783,4.302,0.652,4.934,,,
200,0.859,0.783,4.910,0.75,5.471,0.772,4.425,0.62,4.833,,,
205,0.859,0.783,4.837,0.761,5.243,0.783,4.461,0.609,4.806,,,
210,0.870,0.793,4.793,0.761,5.278,0.783,4.418,0.63,4.684,,,
215,0.870,0.793,4.873,0.761,5.426,0.793,4.461,0.598,4.733,,,
220,0.870,0.783,4.863,0.761,5.335,0.793,4.507,0.63,4.747,,,
225,0.859,0.793,4.810,0.761,5.312,0.761,4.438,0.598,4.679,,,
230,0.859,0.826,4.800,0.772,5.274,0.783,4.427,0.565,4.698,,,
235,0.859,0.783,4.793,0.761,5.269,0.793,4.427,0.587,4.683,,,
240,0.848,0.793,4.804,0.783,5.34,0.783,4.427,0.587,4.644,,,
245,0.880,0.804,4.709,0.761,5.125,0.793,4.377,0.565,4.624,,,
250,0.891,0.826,4.698,0.761,5.305,0.761,4.307,0.598,4.483,,,
255,0.859,0.804,4.735,0.772,5.197,0.783,4.418,0.598,4.59,,,
260,0.880,0.815,4.734,0.772,5.334,0.783,4.302,0.565,4.566,,,
265,0.902,0.815,4.669,0.782,5.241,0.783,4.208,0.609,4.558,,,
270,0.870,0.793,4.682,0.782,5.206,0.783,4.257,0.598,4.584,,,
275,0.880,0.815,4.591,0.772,5.047,0.761,4.196,0.565,4.53,,,
280,0.880,0.804,4.615,0.761,5.09,0.783,4.184,0.554,4.571,,,
